entry_time,entry_price,exit_time,exit_price,exit_reason,pattern,confidence,hold_time_min,pnl_pct,pnl_dollars,max_price,max_profit_pct,capture_rate
2026-01-09 08:30:00-05:00,1.69,2026-01-09 08:50:00-05:00,1.69,Strong Reversal (3 signals),Accumulation_Pattern,0.75,20.0,0.0,0.0,1.702,0.7100591715976338,0.0
2026-01-09 08:51:00-05:00,1.69,2026-01-09 09:19:00-05:00,1.67,Strong Reversal (3 signals),Accumulation_Pattern,0.75,28.0,-1.1834319526627228,-0.020000000000000018,1.7,0.5917159763313614,-200.0
2026-01-09 09:34:00-05:00,1.659,2026-01-09 10:04:00-05:00,1.875,Strong Reversal (3 signals),Accumulation_Pattern,0.75,30.0,13.019891500904157,0.21599999999999997,1.989,19.891500904159138,65.45454545454542
2026-01-09 10:15:00-05:00,1.921,2026-01-09 10:38:00-05:00,1.94,Strong Reversal (4 signals),Accumulation_Pattern,0.75,23.0,0.9890681936491362,0.018999999999999906,1.99,3.5918792295679305,27.53623188405786
2026-01-09 10:39:00-05:00,1.949,2026-01-09 11:02:00-05:00,2.042,Strong Reversal (3 signals),Accumulation_Pattern,0.75,23.0,4.771677783478694,0.09299999999999975,2.105,8.004104669061052,59.61538461538449
2026-01-09 11:03:00-05:00,2.075,2026-01-09 11:38:00-05:00,2.11,Strong Reversal (3 signals),Accumulation_Pattern,0.75,35.0,1.6867469879517927,0.0349999999999997,2.15,3.614457831325288,46.66666666666644
2026-01-09 11:39:00-05:00,2.139,2026-01-09 12:00:00-05:00,2.1,Strong Reversal (3 signals),MACD_Bullish_Cross,0.75,21.0,-1.8232819074333662,-0.0389999999999997,2.2,2.8517999064983823,-63.93442622950729
2026-01-09 12:01:00-05:00,2.1,2026-01-09 12:43:00-05:00,2.3,Strong Reversal (3 signals),Accumulation_Pattern,0.75,42.0,9.523809523809511,0.19999999999999973,2.38,13.333333333333325,71.42857142857137
2026-01-09 12:45:00-05:00,2.3,2026-01-09 13:06:00-05:00,2.271,Strong Reversal (3 signals),Accumulation_Pattern,0.75,21.0,-1.2608695652173878,-0.028999999999999915,2.34,1.7391304347826104,-72.49999999999973
2026-01-09 13:07:00-05:00,2.27,2026-01-09 13:32:00-05:00,2.275,Strong Reversal (3 signals),Accumulation_Pattern,0.75,25.0,0.22026431718061204,0.004999999999999893,2.3,1.3215859030836918,16.66666666666642
2026-01-09 13:33:00-05:00,2.265,2026-01-09 14:19:00-05:00,2.322,Strong Reversal (3 signals),Accumulation_Pattern,0.75,46.0,2.516556291390726,0.05699999999999994,2.35,3.752759381898453,67.05882352941173
2026-01-09 14:20:00-05:00,2.321,2026-01-09 15:07:00-05:00,2.63,Strong Reversal (3 signals),Accumulation_Pattern,0.75,47.0,13.313227057302873,0.3089999999999997,2.69,15.898319689788872,83.73983739837396
2026-01-09 15:08:00-05:00,2.715,2026-01-09 15:19:00-05:00,2.4978,Hard Stop Loss (15%),Strong_Bullish_Setup,0.85,11.0,-8.000000000000004,-0.21720000000000006,2.72,0.18416206261511373,-4343.999999999708
2026-01-09 15:27:00-05:00,2.525,2026-01-09 15:48:00-05:00,2.531,Strong Reversal (3 signals),Accumulation_Pattern,0.75,21.0,0.23762376237624663,0.006000000000000227,2.61,3.3663366336633653,7.058823529412034
2026-01-09 15:50:00-05:00,2.53,2026-01-09 16:19:00-05:00,2.5,Strong Reversal (3 signals),Accumulation_Pattern,0.75,29.0,-1.1857707509881346,-0.029999999999999805,2.55,0.7905138339920956,-149.99999999999886
2026-01-09 16:20:00-05:00,2.5,2026-01-09 16:40:00-05:00,2.49,Strong Reversal (4 signals),Accumulation_Pattern,0.75,20.0,-0.39999999999999153,-0.009999999999999787,2.52,0.8000000000000007,-49.9999999999989
2026-01-09 16:41:00-05:00,2.49,2026-01-09 17:47:00-05:00,2.54,Strong Reversal (3 signals),Accumulation_Pattern,0.75,66.0,2.0080321285140488,0.04999999999999982,2.63,5.622489959839344,35.71428571428567
2026-01-09 17:48:00-05:00,2.549,2026-01-09 18:24:00-05:00,2.56,Strong Reversal (3 signals),Accumulation_Pattern,0.75,36.0,0.4315417810906285,0.01100000000000012,2.59,1.6084739113377766,26.829268292683274
2026-01-09 18:25:00-05:00,2.56,2026-01-09 18:46:00-05:00,2.48,Strong Reversal (3 signals),Accumulation_Pattern,0.75,21.0,-3.1250000000000027,-0.08000000000000007,2.59,1.1718749999999925,-266.6666666666686
2026-01-09 18:47:00-05:00,2.51,2026-01-09 19:25:00-05:00,2.49,Strong Reversal (4 signals),Accumulation_Pattern,0.75,38.0,-0.7968127490039673,-0.019999999999999574,2.539,1.1553784860557912,-68.965517241377
2026-01-09 19:26:00-05:00,2.5,2026-01-09 19:50:00-05:00,2.48,Strong Reversal (4 signals),Accumulation_Pattern,0.75,24.0,-0.8000000000000007,-0.020000000000000018,2.52,0.8000000000000007,-100.0
2026-01-09 19:51:00-05:00,2.49,2026-01-09 20:00:00-05:00,2.5,End of Day,Accumulation_Pattern,0.75,9.0,0.40160642570280264,0.009999999999999787,2.5,0.40160642570280264,0.0
